size,omega0
1882,840.62
1883,841.5666666666667
1884,843.2333333333333
1885,843.6866666666666
1886,843.4266666666666
1887,843.7066666666667
1888,844.58
1889,846.1866666666666
1890,846.1133333333333
1891,846.1733333333333
1892,846.56
1893,847.7
1894,846.4933333333333
1895,849.3333333333334
1896,848.84
1897,850.46
1898,850.5
1899,850.7733333333333
1900,851.0466666666666
1901,851.1333333333333
1902,851.98
1903,852.78
1904,853.1733333333333
1905,853.3933333333333
1906,854.9066666666666
1907,855.5533333333333
1908,854.9066666666666
1909,856.3733333333333
1910,856.4466666666667
1911,856.9733333333334
1912,857.6333333333333
1913,857.66
1914,857.12
1915,858.7933333333333
1916,859.9066666666666
1917,860.2
1918,861.5266666666666
1919,860.6666666666666
1920,860.96
1921,862.3
1922,862.6
1923,864.22
1924,863.5133333333333
1925,863.7
1926,864.42
1927,865.5066666666667
1928,864.68
1929,866.1666666666666
1930,866.34
1931,866.3133333333334
1932,867.12
1933,869.18
1934,868.1
1935,870.0533333333333
1936,869.6133333333333
1937,871.0333333333333
1938,871.1733333333333
1939,872.0
1940,872.16
1941,871.7466666666667
1942,872.1066666666667
1943,873.9466666666667
1944,874.5933333333334
1945,874.4133333333333
1946,874.28
1947,876.6133333333333
1948,875.1666666666666
1949,877.3866666666667
1950,876.8333333333334
1951,878.26
1952,878.2866666666666
1953,878.98
1954,878.5
1955,879.6666666666666
1956,880.4733333333334
1957,880.8
1958,881.2866666666666
1959,880.6733333333333
1960,882.0266666666666
1961,883.1533333333333
