size,omega0
1724,534.9314293
1725,535.3288609
1726,535.7263444
1727,536.1238796
1728,536.5214664
1729,536.9191046
1730,537.3167942
1731,537.7145349
1732,538.1123266
1733,538.5101693
1734,538.9080627
1735,539.3060067
1736,539.7040012
1737,540.102046
1738,540.500141
1739,540.898286
1740,541.2964809
1741,541.6947257
1742,542.09302
1743,542.4913638
1744,542.889757
1745,543.2881994
1746,543.6866908
1747,544.0852312
1748,544.4838203
1749,544.8824581
1750,545.2811444
1751,545.679879
1752,546.0786619
1753,546.4774929
1754,546.8763717
1755,547.2752984
1756,547.6742728
1757,548.0732947
1758,548.4723639
1759,548.8714804
1760,549.270644
1761,549.6698545
1762,550.0691119
1763,550.4684159
1764,550.8677665
1765,551.2671635
1766,551.6666067
1767,552.0660961
1768,552.4656314
1769,552.8652125
1770,553.2648394
1771,553.6645118
1772,554.0642296
1773,554.4639927
1774,554.8638009
1775,555.2636541
1776,555.6635521
1777,556.0634949
1778,556.4634822
1779,556.863514
1780,557.26359
1781,557.6637102
1782,558.0638744
1783,558.4640825
1784,558.8643343
1785,559.2646297
1786,559.6649686
1787,560.0653507
